seedPlayerId,seedName,seedKey,sourceClub,sourcePosition,birthDate,localBestMatch,localBestTmPlayerId,localBestClub,localBestSimilarity,clubMatch,positionMatch,DOBMatch,runnerUp,runnerUpTmPlayerId,status
"cmtr671ek009133yn5v9tblw0","Javokhir Utamurodov","UZ1-2026-NASAFQAR-019","Nasaf Qarshi","DF","","Javokhir Ubaydullaev","1436682","Mash'al Mubarek","0.611","false","false","false","Javokhir Ilyosov","492562","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
"cmtr671jw00kd33ynxw8m7v3y","Kakha Makharadze","UZ1-2026-LOKOMOTI-023","Lokomotiv Tashkent","MF","","","","","","","","","","","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
"cmtr671k500l333ynpuk0hgf7","Karen Abramov","UZ1-2026-LOKOMOTI-036","Lokomotiv Tashkent","MF","","Nurlan Ibraimov","1144074","Lokomotiv Tashkent","0.571","true","false","false","Sardor Abduraimov","492567","AMBIGUOUS"
"cmtr671c5003h33yn7084si0d","Khasan Askarov","UZ1-2026-BUNYODKO-008","Bunyodkor Tashkent","DF","","Bobur Askarov","651310","Mash'al Mubarek","0.583","false","false","false","","","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
"cmtr671dw007b33ynb8vgf5os","Khudoyorkhon Sagdullaev","UZ1-2026-MASHALMU-012","Mashal Muborak","MF","","Dilshod Abdullaev","1079574","Pakhtakor Tashkent","0.550","false","false","false","Doniyor Narzullaev","431914","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
"cmtr671ju00k733ynxkj7e0kk","Khudoyshukur Sattorov","UZ1-2026-LOKOMOTI-019","Lokomotiv Tashkent","DF","","","","","","","","","","","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
"cmtr671hl00e733ynh89nazps","Kimi Merk","UZ1-2026-PAKHTAKO-018","Pakhtakor Tashkent","MF","","","","","","","","","","","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
"cmtr671k200kt33yn2plzq0i3","Lazizbek Mirzaev","UZ1-2026-LOKOMOTI-031","Lokomotiv Tashkent","MF","","Azizbek Choriev","1405287","Mash'al Mubarek","0.600","false","false","false","Azizbek Pirmukhamedov","843326","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
"cmtr671j100i333ynnfamaqja","Ljupche Doriev","UZ1-2026-SOGDIANA-017","Sogdiana Jizzakh","MF","","Ljupco Doriev","329200","Sogdiana Jizzakh","0.846","true","false","false","","","LOCAL_DUPLICATE"
"cmtr671i500fp33yntv4z9xyj","Luka Ratkovic","UZ1-2026-QIZILQUM-017","Qizilqum Zarafshon","FW","","","","","","","","","","","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
"cmtr671ha00dr33yn7evtnl6g","Makhmud Makhamadzhonov","UZ1-2026-PAKHTAKO-009","Pakhtakor Tashkent","DF","","Mashkhur Mukhammadjonov","581626","Xorazm Urganch","0.650","false","false","false","","","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
"cmtr671jg00j933ynket3x9e6","Mamur Ikramov","UZ1-2026-LOKOMOTI-001","Lokomotiv Tashkent","GK","","Zafar Akromov","745390","Mash'al Mubarek","0.583","false","false","false","","","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
"cmtr671k500l533yn0ge7gucz","Marat Bikmaev","UZ1-2026-LOKOMOTI-037","Lokomotiv Tashkent","MF","","","","","","","","","","","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
"cmtr671kl00m933ynqttriznr","Marsiano Roki","UZ1-2026-XORAZMUR-007","Xorazm Urganch","FW","","","","","","","","","","","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
"cmtr671ed008l33ynzw653yth","Mashkhyrbek Abdusoliev","UZ1-2026-NASAFQAR-010","Nasaf Qarshi","DF","","","","","","","","","","","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
