playerId,currentName,tmPlayerId,tmUrl,careerStatus,confirmedFreeAgent,currentClub,currentClubTmId,currentCompetition,currentCompetitionTmId,mainPosition,positionGroup,birthDate,age,nationalities,marketValueEur,contractExpires,portraitPresent,preferredFoot,representationStatus,seedKey,sourceName,sourceClub,sourcePosition,sourceSeason,sourceUrl
"cmtr671c1003933yniw89xuto","Sakhob Jurayev","seed:UZ1-2026-BUNYODKO-004","seed://uz1/UZ1-2026-BUNYODKO-004","UNKNOWN","false","","","","","UNKNOWN","DF","","","[]","","","false","UNKNOWN","UNKNOWN","UZ1-2026-BUNYODKO-004","Sakhob Jurayev","Bunyodkor Tashkent","DF","2026",""
"cmtr671iu00hp33yns7uh1jze","Samandar Sindarov","seed:UZ1-2026-SOGDIANA-009","seed://uz1/UZ1-2026-SOGDIANA-009","UNKNOWN","false","","","","","UNKNOWN","DF","","","[]","","","false","UNKNOWN","UNKNOWN","UZ1-2026-SOGDIANA-009","Samandar Sindarov","Sogdiana Jizzakh","DF","2026",""
"cmtr671dy007h33ynwumm3a6a","Sanjar Zokirov","seed:UZ1-2026-MASHALMU-015","seed://uz1/UZ1-2026-MASHALMU-015","UNKNOWN","false","","","","","UNKNOWN","MF","","","[]","","","false","UNKNOWN","UNKNOWN","UZ1-2026-MASHALMU-015","Sanjar Zokirov","Mashal Muborak","MF","2026",""
"cmtr671jh00jb33ynjirk7khw","Sardor Kabuldzhanov","seed:UZ1-2026-LOKOMOTI-002","seed://uz1/UZ1-2026-LOKOMOTI-002","UNKNOWN","false","","","","","Goalkeeper","GK","","","[]","","","false","UNKNOWN","UNKNOWN","UZ1-2026-LOKOMOTI-002","Sardor Kabuldzhanov","Lokomotiv Tashkent","GK","2026",""
"cmtr671c3003f33ynixowtcx1","Sergei Simonenko","seed:UZ1-2026-BUNYODKO-007","seed://uz1/UZ1-2026-BUNYODKO-007","UNKNOWN","false","","","","","UNKNOWN","DF","","","[]","","","false","UNKNOWN","UNKNOWN","UZ1-2026-BUNYODKO-007","Sergei Simonenko","Bunyodkor Tashkent","DF","2026",""
"cmtr671h600dh33yn7l629f0y","Shahzod Azmiddinov","seed:UZ1-2026-PAKHTAKO-004","seed://uz1/UZ1-2026-PAKHTAKO-004","UNKNOWN","false","","","","","UNKNOWN","DF","","","[]","","","false","UNKNOWN","UNKNOWN","UZ1-2026-PAKHTAKO-004","Shahzod Azmiddinov","Pakhtakor Tashkent","DF","2026",""
"cmtr671ds006z33yn9h22yeku","Shakhboz Juraev","seed:UZ1-2026-MASHALMU-006","seed://uz1/UZ1-2026-MASHALMU-006","UNKNOWN","false","","","","","UNKNOWN","MF","","","[]","","","false","UNKNOWN","UNKNOWN","UZ1-2026-MASHALMU-006","Shakhboz Juraev","Mashal Muborak","MF","2026",""
"cmtr671cq004t33yne68rms72","Shakzodbek Nurmatov","seed:UZ1-2026-BUNYODKO-033","seed://uz1/UZ1-2026-BUNYODKO-033","UNKNOWN","false","","","","","UNKNOWN","FW","","","[]","","","false","UNKNOWN","UNKNOWN","UZ1-2026-BUNYODKO-033","Shakzodbek Nurmatov","Bunyodkor Tashkent","FW","2026",""
"cmtr671jx00kh33ynxpdaa56d","Sherzodbek Karimov","seed:UZ1-2026-LOKOMOTI-025","seed://uz1/UZ1-2026-LOKOMOTI-025","UNKNOWN","false","","","","","UNKNOWN","MF","","","[]","","","false","UNKNOWN","UNKNOWN","UZ1-2026-LOKOMOTI-025","Sherzodbek Karimov","Lokomotiv Tashkent","MF","2026",""
"cmtr671gx00cx33ynrb47oy3a","Shohruhbek Rahmonaliev","seed:UZ1-2026-NEFTCHIF-026","seed://uz1/UZ1-2026-NEFTCHIF-026","UNKNOWN","false","","","","","UNKNOWN","MF","","","[]","","","false","UNKNOWN","UNKNOWN","UZ1-2026-NEFTCHIF-026","Shohruhbek Rahmonaliev","Neftchi Fergana","MF","2026",""
"cmtr671i300fl33ynuvmmas1a","Shoxrux Norxonov","seed:UZ1-2026-QIZILQUM-014","seed://uz1/UZ1-2026-QIZILQUM-014","UNKNOWN","false","","","","","UNKNOWN","FW","","","[]","","","false","UNKNOWN","UNKNOWN","UZ1-2026-QIZILQUM-014","Shoxrux Norxonov","Qizilqum Zarafshon","FW","2026",""
"cmtr671ix00hz33yn6h9p63ua","Siroy Meliev","seed:UZ1-2026-SOGDIANA-015","seed://uz1/UZ1-2026-SOGDIANA-015","UNKNOWN","false","","","","","UNKNOWN","MF","","","[]","","","false","UNKNOWN","UNKNOWN","UZ1-2026-SOGDIANA-015","Siroy Meliev","Sogdiana Jizzakh","MF","2026",""
